Time,Open,High,Low,Close,Volume,vwap,transactions,otc,Date
04:00:00,1.02127,1.02543,1.0207,1.02356,41691,1.0228,41691,,2022-07-29
08:00:00,1.02363,1.02456,1.0185,1.02091,43611,1.0216,43611,,2022-07-29
12:00:00,1.0209,1.02129,1.0146,1.02015,57924,1.0179,57924,,2022-07-29
16:00:00,1.02014,1.0223,1.0176,1.02205,26639,1.0204,26639,,2022-07-29
20:00:00,1.02208,1.0227,1.02169,1.02264,3318,1.0223,3318,,2022-07-29
16:00:00,1.01948,1.01956,1.01948,1.01956,2,1.0196,2,,2022-07-31
20:00:00,1.01973,1.02242,1.01971,1.021,7222,1.0213,7222,,2022-07-31
00:00:00,1.02102,1.02413,1.0205,1.02253,32002,1.0229,32002,,2022-08-01
04:00:00,1.02256,1.02409,1.0212,1.02299,32070,1.0227,32070,,2022-08-01
08:00:00,1.02296,1.02699,1.0226,1.02328,39291,1.0251,39291,,2022-08-01
12:00:00,1.0233,1.02751,1.0224,1.02681,49931,1.0254,49931,,2022-08-01
16:00:00,1.02677,1.0275,1.0244,1.02581,28213,1.026,28213,,2022-08-01
20:00:00,1.02576,1.0269,1.02539,1.02626,13211,1.0261,13211,,2022-08-01
00:00:00,1.02627,1.02937,1.0255,1.02735,39992,1.0272,39992,,2022-08-02
04:00:00,1.02735,1.02797,1.0215,1.02247,39188,1.0254,39188,,2022-08-02
08:00:00,1.02253,1.02454,1.02187,1.02236,40209,1.0234,40209,,2022-08-02
12:00:00,1.02232,1.02359,1.01809,1.01961,56257,1.0208,56257,,2022-08-02
16:00:00,1.01961,1.02105,1.0167,1.01686,33444,1.0185,33444,,2022-08-02
20:00:00,1.01691,1.0173,1.0153,1.01564,14767,1.0164,14767,,2022-08-02
00:00:00,1.01559,1.01937,1.0149,1.01916,30115,1.0169,30115,,2022-08-03
04:00:00,1.01911,1.0193,1.0153,1.01779,36116,1.0177,36116,,2022-08-03
08:00:00,1.01785,1.02098,1.0177,1.01843,39486,1.0188,39486,,2022-08-03
12:00:00,1.01835,1.01967,1.0121,1.0142,52066,1.0157,52066,,2022-08-03
16:00:00,1.01446,1.01737,1.014,1.01681,27611,1.0157,27611,,2022-08-03
20:00:00,1.01692,1.01721,1.0155,1.01566,13259,1.0164,13259,,2022-08-03
00:00:00,1.0156,1.01762,1.01538,1.01625,23457,1.0165,23457,,2022-08-04
04:00:00,1.01627,1.01864,1.0156,1.01785,29812,1.017,29812,,2022-08-04
